"organism_biosamp_ncbitaxonomy-via-taxize","superkingdom_ncbitaxonomy-via-taxize","kingdom_ncbitaxonomy-via-taxize","phylum_ncbitaxonomy-via-taxize","subphylum_ncbitaxonomy-via-taxize","superclass_ncbitaxonomy-via-taxize","class_ncbitaxonomy-via-taxize","subclass_ncbitaxonomy-via-taxize","superorder_ncbitaxonomy-via-taxize","order_ncbitaxonomy-via-taxize","suborder_ncbitaxonomy-via-taxize","infraorder_ncbitaxonomy-via-taxize","superfamily_ncbitaxonomy-via-taxize","family_ncbitaxonomy-via-taxize","genus_ncbitaxonomy-via-taxize","species_ncbitaxonomy-via-taxize","infraclass_ncbitaxonomy-via-taxize","cohort_ncbitaxonomy-via-taxize","subfamily_ncbitaxonomy-via-taxize","parvorder_ncbitaxonomy-via-taxize","subcohort_ncbitaxonomy-via-taxize","tribe_ncbitaxonomy-via-taxize","subspecies_ncbitaxonomy-via-taxize"
"Phocoena phocoena","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Laurasiatheria","Artiodactyla","Whippomorpha","Cetacea",NA,"Phocoenidae","Phocoena","Phocoena phocoena",NA,NA,NA,"Odontoceti",NA,NA,NA
"Phocoena sinus","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Laurasiatheria","Artiodactyla","Whippomorpha","Cetacea",NA,"Phocoenidae","Phocoena","Phocoena sinus",NA,NA,NA,"Odontoceti",NA,NA,NA
"Pisaster ochraceus","Eukaryota","Metazoa","Echinodermata",NA,"Asterozoa","Asteroidea",NA,"Forcipulatacea","Forcipulatida",NA,NA,NA,"Asteriidae","Pisaster","Pisaster ochraceus",NA,NA,NA,NA,NA,NA,NA
"Placopecten magellanicus","Eukaryota","Metazoa","Mollusca",NA,NA,"Bivalvia","Autobranchia",NA,"Pectinida",NA,NA,"Pectinoidea","Pectinidae","Placopecten","Placopecten magellanicus",NA,NA,NA,NA,NA,NA,NA
"Planes minutus","Eukaryota","Metazoa","Arthropoda","Crustacea","Multicrustacea","Malacostraca","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Brachyura","Grapsoidea","Grapsidae","Planes","Planes minutus",NA,NA,NA,NA,NA,NA,NA
"Platichthys flesus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Pleuronectiformes","Pleuronectoidei",NA,NA,"Pleuronectidae","Platichthys","Platichthys flesus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Pocillopora damicornis","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Astrocoeniina",NA,NA,"Pocilloporidae","Pocillopora","Pocillopora damicornis",NA,NA,NA,NA,NA,NA,NA
"Poecilia latipinna","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii","Atherinomorphae","Cyprinodontiformes","Cyprinodontoidei",NA,NA,"Poeciliidae","Poecilia","Poecilia latipinna","Teleostei","Euteleosteomorpha","Poeciliinae",NA,NA,NA,NA
"Pomacanthus maculosus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,NA,NA,NA,NA,"Pomacanthidae","Pomacanthus","Pomacanthus maculosus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Porites astreoides","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Fungiina",NA,NA,"Poritidae","Porites","Porites astreoides",NA,NA,NA,NA,NA,NA,NA
